ISO-3166-1;Population;Date;Source
CHN;1401580040;2 Mar 2020;National population clock[3]
IND;1359321250;2 Mar 2020;National population clock[4]
USA;329379809;2 Mar 2020;National population clock[5]
IDN;266911900;1 Jul 2019;National annual projection[6]
BRA;211199910;2 Mar 2020;National population clock[7]
PAK;208227687;2 Mar 2020;2017 census[8]
NGA;200963599;1 Jul 2019;UN projection[2]
BGD;168197514;2 Mar 2020;National population clock[9]
RUS;146780720;1 Jan 2019;National estimate[10]
MEX;126577691;1 Jul 2019;National annual projection[11]
JPN;126010000;1 Feb 2020;Monthly provisional estimate[12]
PHL;108350097;2 Mar 2020;National population clock[13]
EGY;100079453;2 Mar 2020;National population clock[14]
ETH;98665000;1 Jul 2019;National annual projection[15]
VNM;96208984;1 Apr 2019;Preliminary 2019 census result[16]
COD;86790567;1 Jul 2019;UN projection[2]
IRN;83246489;2 Mar 2020;National population clock[17]
TUR;83154997;31 Dec 2019;National annual estimate[18]
DEU;83149300;30 Sep 2019;National estimate[19]
FRA;67064000;1 Jan 2020;Monthly national estimate[20]
THA;66476592;2 Mar 2020;National population clock[21]
GBR;66435600;30 Jun 2018;National annual estimate[22]
ITA;60247214;30 Sep 2019;Monthly national estimate[23]
ZAF;58775022;1 Jul 2019;National annual estimate[24]
TZA;55890747;1 Jul 2019;National annual projection[25]
MMR;54339766;1 Jul 2019;National annual projection[26]
KOR;51780579;1 Jul 2020;National annual projection[27]
COL;49395678;30 Jun 2019;National annual projection[28]
KEN;47564296;31 Aug 2019;2019 census result[29]
ESP;47100396;1 Jul 2019;National estimate[30]
ARG;44938712;1 Jul 2019;National annual projection[31]
DZA;43000000;1 Jan 2019;National annual projection[32]
SDN;42311455;2 Mar 2020;National population clock[33]
UKR;41902416;1 Jan 2020;Monthly national estimate[34]
UGA;40299300;1 Jul 2019;National annual projection[35]
IRQ;39127900;1 Jul 2019;National annual projection[36]
POL;38386000;30 Jun 2019;National estimate[37]
CAN;37942833;2 Mar 2020;National population clock[38]
MAR;35826809;2 Mar 2020;National population clock[39]
SAU;34218169;1 Jul 2019;National estimate[40]
UZB;34046107;2 Mar 2020;National population clock[41]
MYS;32706760;2 Mar 2020;National population clock[42]
AFG;32225560;1 Jul 2019;National annual estimate[43]
VEN;32219521;30 Jun 2019;National annual projection[44]
PER;32131400;30 Jun 2019;National annual projection[45]
AGO;31127674;2020;National projection[46]
GHA;30280811;1 Jul 2019;National projection[47]
NPL;29609623;1 Jul 2019;National annual projection[48]
YEM;29161922;1 Jul 2019;UN projection[2]
MOZ;28571310;1 Jul 2019;National projection[49]
CMR;25876000;1 Jul 2019;UN projection[2]
CIV;25823071;1 Jul 2019;National projection[50]
MDG;25680342;18 May 2018;Provisional 2018 census result[51]
AUS;25633452;2 Mar 2020;National population clock[52]
PRK;25450000;1 Jul 2019;National annual projection[53]
TWN;23604265;31 Jan 2020;Monthly national estimate[54]
NER;22314743;1 Jul 2019;National annual projection[55]
LKA;21803000;1 Jul 2019;National estimate[56]
BFA;20870060;1 Jul 2019;National annual projection[57]
MLI;19973000;1 Jul 2019;National annual projection[58]
ROU;19405156;1 Jan 2019;National annual estimate[59]
CHL;19107216;1 Jul 2019;National annual projection[60]
KAZ;18655376;2 Mar 2020;National population clock[61]
MWI;17563749;3 Sep 2018;2018 census result[62]
NLD;17440181;2 Mar 2020;National population clock[63]
ECU;17435768;2 Mar 2020;National population clock[64]
ZMB;17381168;1 Jul 2019;National annual projection[65]
SYR;17070135;1 Jul 2019;UN projection[2]
GCA;16604026;1 Jul 2019;National annual projection[66]
SEN;16209125;1 Jul 2019;National annual projection[67]
TCD;15692969;1 Jul 2019;National annual projection[68]
SOM;15442905;1 Jul 2019;UN projection[2]
KHM;15288489;3 Mar 2019;Provisional 2019 census result[69]
ZWE;15159624;1 Jul 2019;National annual projection[70]
SSD;12778250;1 Jul 2019;National annual projection[71]
RWA;12374397;1 Jul 2019;National projection annual[72]
GIN;12218357;1 Jul 2019;National projection[73]
BEN;11733059;1 Jul 2019;National projection annual[74]
TUN;11722038;1 Jul 2019;National estimate[75]
HTI;11577779;1 Jul 2019;National annual projection[76]
BEL;11524454;1 Jan 2020;Monthly national estimate[77]
BOL;11469896;1 Jul 2019;National projection annual[78]
CUB;11209628;31 Dec 2018;National annual estimate[79]
BDI;10953317;1 Jul 2019;National annual projection[80]
GRC;10724599;1 Jan 2019;National estimate[81]
CZE;10681161;30 Sep 2019;National quarterly estimate[82]
JOR;10626952;2 Mar 2020;National population clock[83]
DOM;10358320;1 Jul 2019;National projection[84]
SWE;10327589;31 Dec 2019;National monthly estimate[85]
PRT;10276617;31 Dec 2018;National annual estimate[86]
AZE;10067108;1 Jan 2020;National estimate[87]
HUN;9772756;1 Jan 2019;National estimate[88]
ARE;9770529;1 Jul 2019;UN projection[2]
BLR;9413446;4 Oct 2019;Preliminary 2019 census result[89]
ISR;9166920;2 Mar 2020;National population clock[90]
HND;9158345;1 Jul 2019;National annual projection[91]
TJK;9127000;1 Jan 2019;National estimate[92]
PNG;8935000;2020;National annual projection[93]
AUT;8902600;1 Jan 2020;Quarterly provisional figure[94]
CHE;8586550;30 Sep 2019;National provisional figure[95]
SLE;7901454;1 Jul 2019;National annual projection[96]
TGO;7538000;1 Jul 2019;National annual projection[97]
HKG;7500700;31 Dec 2019;National estimate[98]
PRY;7152703;1 Jul 2019;National annual projection[99]
LAO;7123205;1 Jul 2019;National annual projection[100]
BGR;7000039;31 Dec 2018;National estimate[101]
SRB;6963764;1 Jan 2019;National annual estimate[102]
LBN;6855713;1 Jul 2019;UN projection[2]
LBY;6777452;1 Jul 2019;UN projection[2]
SLV;6704864;1 Jul 2019;National annual projection[103]
KGZ;6490300;1 Oct 2019;National estimate[104]
NIC;6460411;30 Jun 2018;National estimate[105]
TKM;5942089;1 Jul 2019;UN projection[2]
DNK;5822763;1 Jan 2020;National quarterly estimate[106]
SGP;5703600;30 Jun 2019;National estimate[107]
FIN;5527573;31 Dec 2019;National monthly estimate[108]
CAF;5496011;1 Jul 2019;National annual projection[109]
SVK;5456362;30 Sep 2019;National estimate[110]
COD;5380508;1 Jul 2019;UN projection[2]
NOR;5367580;1 Jan 2020;National quarterly estimate[111]
CRI;5058007;30 Jun 2019;National annual projection[112]
PSE;4976684;1 Jul 2019;National annual projection[113]
NZL;4962319;2 Mar 2020;National population clock[114]
IRL;4921500;1 Apr 2019;National estimate[115]
OMN;4664790;1 Jan 2020;National estimate[116]
LBR;4475353;1 Jul 2019;National projection[117]
KWT;4420110;1 Jan 2019;National annual estimate[118]
PAN;4218808;1 Jul 2019;National annual projection[119]
MRT;4077347;1 Jul 2019;National annual projection[120]
HRV;4076246;31 Dec 2018;National annual estimate[121]
GEO;3723464;1 Jan 2019;National annual estimate[122]
URY;3518552;30 Jun 2019;National annual projection[123]
ERI;3497117;1 Jul 2019;UN projection[2]
MNG;3305510;2 Mar 2020;National population clock[124]
BIH;3301000;1 Jul 2019;UN projection[2]
PRI;3193694;1 Jul 2019;National estimate[125]
ARM;2957500;30 Sep 2019;National quarterly estimate[126]
ALB;2862427;1 Jan 2019;National annual estimate[127]
LTU;2793350;1 Feb 2020;Monthly national estimate[128]
QAT;2747282;30 Sep 2019;Monthly national estimate[129]
JAM;2726667;31 Dec 2018;National estimate[130]
MDA;2681735;1 Jan 2019;National estimate[131]
NAM;2458936;1 Jul 2019;National projection[132]
WAG;2347706;1 Jul 2019;UN projection[2]
BWA;2338851;1 Jul 2019;National annual projection[133]
GAB;2172579;1 Jul 2019;UN projection[2]
SVN;2094060;1 Oct 2019;National estimate[134]
MKD;2077132;31 Dec 2018;National estimate[135]
LSO;2007201;10 Apr 2016;2016 census result[136]
LVA;1906800;1 Feb 2020;Monthly national estimate[137]
KOSOVO;1795666;31 Dec 2018;National annual estimate[138]
GNB;1604528;1 Jul 2019;National annual projection[139]
BHR;1543300;1 Jul 2019;National annual projection[140]
TLS;1387149;1 Jul 2019;National annual projection[141]
TTO;1363985;30 Jun 2019;National estimate[142]
GNQ;1358276;1 Jul 2018;National estimate[143]
EST;1328360;1 Jan 2020;National estimate[144]
MUS;1265985;1 Jul 2019;National estimate[145]
SWZ;1093238;11 May 2017;National census result[146]
DJI;1078373;1 Jul 2019;National annual projection[147]
FJI;884887;17 Sep 2017;National census result[148]
CYP;875900;31 Dec 2018;National annual estimate[149]
COM;873724;1 Jul 2019;National estimate[150]
GUY;782766;1 Jul 2019;UN projection[2]
BTN;741672;1 Jul 2019;National annual projection[151]
SLB;680806;1 Jul 2019;National annual projection[152]
MAC;676100;30 Sep 2019;National quarterly estimate[153]
MNE;622359;1 Jan 2018;National estimate[154]
LUX;613894;1 Jan 2019;National estimate[155]
ESH;582463;1 Jul 2019;UN projection[2]
SUR;581372;1 Jul 2019;UN projection[2]
CPV;550483;1 Jul 2019;National annual projection[156]
MLT;493559;31 Dec 2018;National estimate[157]
TRANSNISTRIE;469000;1 Jan 2018;National estimate[158]
BRU;442400;1 Jul 2018;National estimate[159]
BLZ;408487;1 Jul 2019;National estimate[160]
BHS;385340;1 Jul 2019;National annual projection[161]
MDV;374775;31 Dec 2018;National annual estimate[162]
ISL;364260;31 Dec 2019;National quarterly estimate[163]
 Northern Cyprus;351965;31 Dec 2017;National estimate[164]
VUT;304500;1 Jul 2018;National annual estimate[93]
BDS;287025;1 Jul 2019;UN projection[2]
NCL;282200;1 Jan 2018;National annual estimate[165]
PYF;275918;17 Aug 2017;2017 census results[166]
 Abkhazia;244832;1 Jan 2018;National estimate[167]
STP;201784;1 Jul 2018;National estimate[168]
WSM;200874;1 Jul 2019;National projection[169]
LCA;178696;1 Jul 2018;National annual estimate[170]
GUM;172400;1 Jul 2018;National annual estimate[93]
CUW;158665;1 Jan 2019;National annual estimate[171]
Flag of Artsakh.svg Artsakh;148000;1 Jan 2019;National annual estimate[172]
 Kiribati;120100;1 Jul 2018;National annual estimate[93]
ABW;112309;31 Mar 2019;National quarterly estimate[173]
