Date;Region;Population;Tests;Confirmed;Deaths;Recovered
2020-01-22;Asia;3957174086;;554;17;28
2020-01-22;C. Europe;64296279;;0;0;0
2020-01-22;Carribean;21775009;;0;0;0
2020-01-22;Common Wealth;135529136;;0;0;0
2020-01-22;E. Europe;324658565;;0;0;0
2020-01-22;Israel;9166920;;0;0;0
2020-01-22;Latin America;575907654;;0;0;0
2020-01-22;Middle East, North Africa;532839714;;0;0;0
2020-01-22;Subsaharan Africa;798663011;;0;0;0
2020-01-22;USA;329379809;24;1;0;0
2020-01-22;W. Europe;359687692;;0;0;0
2020-01-23;Asia;3957174086;;652;18;30
2020-01-23;C. Europe;64296279;;0;0;0
2020-01-23;Carribean;21775009;;0;0;0
2020-01-23;Common Wealth;135529136;;0;0;0
2020-01-23;E. Europe;324658565;;0;0;0
2020-01-23;Israel;9166920;;0;0;0
2020-01-23;Latin America;575907654;;0;0;0
2020-01-23;Middle East, North Africa;532839714;;0;0;0
2020-01-23;Subsaharan Africa;798663011;;0;0;0
2020-01-23;USA;329379809;60;1;0;0
2020-01-23;W. Europe;359687692;;0;0;0
2020-01-24;Asia;3957174086;;937;26;36
2020-01-24;C. Europe;64296279;;0;0;0
2020-01-24;Carribean;21775009;;0;0;0
2020-01-24;Common Wealth;135529136;;0;0;0
2020-01-24;E. Europe;324658565;;0;0;0
2020-01-24;Israel;9166920;;0;0;0
2020-01-24;Latin America;575907654;;0;0;0
2020-01-24;Middle East, North Africa;532839714;;0;0;0
2020-01-24;Subsaharan Africa;798663011;;0;0;0
2020-01-24;USA;329379809;113;2;0;0
2020-01-24;W. Europe;359687692;;2;0;0
2020-01-25;Asia;3957174086;;1428;42;39
2020-01-25;C. Europe;64296279;;0;0;0
2020-01-25;Carribean;21775009;;0;0;0
2020-01-25;Common Wealth;135529136;;0;0;0
2020-01-25;E. Europe;324658565;;0;0;0
2020-01-25;Israel;9166920;;0;0;0
2020-01-25;Latin America;575907654;;0;0;0
2020-01-25;Middle East, North Africa;532839714;;1;0;0
2020-01-25;Subsaharan Africa;798663011;;0;0;0
2020-01-25;USA;329379809;214;2;0;0
2020-01-25;W. Europe;359687692;;3;0;0
2020-01-26;Asia;3957174086;;2104;56;52
2020-01-26;C. Europe;64296279;;0;0;0
2020-01-26;Carribean;21775009;;0;0;0
2020-01-26;Common Wealth;135529136;;5;0;0
2020-01-26;E. Europe;324658565;;0;0;0
2020-01-26;Israel;9166920;;0;0;0
2020-01-26;Latin America;575907654;;0;0;0
2020-01-26;Middle East, North Africa;532839714;;1;0;0
2020-01-26;Subsaharan Africa;798663011;;0;0;0
2020-01-26;USA;329379809;293;5;0;0
2020-01-26;W. Europe;359687692;;3;0;0
2020-01-27;Asia;3957174086;;2911;82;61
2020-01-27;C. Europe;64296279;20;0;0;0
2020-01-27;Carribean;21775009;;0;0;0
2020-01-27;Common Wealth;135529136;;6;0;0
2020-01-27;E. Europe;324658565;;0;0;0
2020-01-27;Israel;9166920;;0;0;0
2020-01-27;Latin America;575907654;;0;0;0
2020-01-27;Middle East, North Africa;532839714;;1;0;0
2020-01-27;Subsaharan Africa;798663011;;0;0;0
2020-01-27;USA;329379809;370;5;0;0
2020-01-27;W. Europe;359687692;;4;0;0
2020-01-28;Asia;3957174086;;5557;131;107
2020-01-28;C. Europe;64296279;28;0;0;0
2020-01-28;Carribean;21775009;;0;0;0
2020-01-28;Common Wealth;135529136;;7;0;0
2020-01-28;E. Europe;324658565;;0;0;0
2020-01-28;Israel;9166920;;0;0;0
2020-01-28;Latin America;575907654;;0;0;0
2020-01-28;Middle East, North Africa;532839714;;1;0;0
2020-01-28;Subsaharan Africa;798663011;;0;0;0
2020-01-28;USA;329379809;435;5;0;0
2020-01-28;W. Europe;359687692;;8;0;0
2020-01-29;Asia;3957174086;;6138;133;126
2020-01-29;C. Europe;64296279;33;0;0;0
2020-01-29;Carribean;21775009;;0;0;0
2020-01-29;Common Wealth;135529136;;8;0;0
2020-01-29;E. Europe;324658565;;0;0;0
2020-01-29;Israel;9166920;;0;0;0
2020-01-29;Latin America;575907654;;0;0;0
2020-01-29;Middle East, North Africa;532839714;;5;0;0
2020-01-29;Subsaharan Africa;798663011;;0;0;0
2020-01-29;USA;329379809;537;5;0;0
2020-01-29;W. Europe;359687692;;10;0;0
2020-01-30;Asia;3957174086;571;8203;171;141
2020-01-30;C. Europe;64296279;34;0;0;0
2020-01-30;Carribean;21775009;;0;0;0
2020-01-30;Common Wealth;135529136;161;11;0;2
2020-01-30;E. Europe;324658565;;0;0;0
2020-01-30;Israel;9166920;;0;0;0
2020-01-30;Latin America;575907654;;0;0;0
2020-01-30;Middle East, North Africa;532839714;;5;0;0
2020-01-30;Subsaharan Africa;798663011;;0;0;0
2020-01-30;USA;329379809;793;5;0;0
2020-01-30;W. Europe;359687692;;10;0;0
2020-01-31;Asia;3957174086;;9884;213;220
2020-01-31;C. Europe;64296279;37;0;0;0
2020-01-31;Carribean;21775009;;0;0;0
2020-01-31;Common Wealth;135529136;177;15;0;2
2020-01-31;E. Europe;324658565;;2;0;0
2020-01-31;Israel;9166920;;0;0;0
2020-01-31;Latin America;575907654;;0;0;0
2020-01-31;Middle East, North Africa;532839714;;5;0;0
2020-01-31;Subsaharan Africa;798663011;;0;0;0
2020-01-31;USA;329379809;856;7;0;0
2020-01-31;W. Europe;359687692;;14;0;0
2020-02-01;Asia;3957174086;;11986;259;282
2020-02-01;C. Europe;64296279;38;0;0;0
2020-02-01;Carribean;21775009;;0;0;0
2020-02-01;Common Wealth;135529136;203;18;0;2
2020-02-01;E. Europe;324658565;;2;0;0
2020-02-01;Israel;9166920;;0;0;0
2020-02-01;Latin America;575907654;;0;0;0
2020-02-01;Middle East, North Africa;532839714;;5;0;0
2020-02-01;Subsaharan Africa;798663011;;0;0;0
2020-02-01;USA;329379809;1166;8;0;0
2020-02-01;W. Europe;359687692;;19;0;0
2020-02-02;Asia;3957174086;;16732;362;470
2020-02-02;C. Europe;64296279;43;0;0;0
2020-02-02;Carribean;21775009;;0;0;0
2020-02-02;Common Wealth;135529136;266;18;0;2
2020-02-02;E. Europe;324658565;;2;0;0
2020-02-02;Israel;9166920;;0;0;0
2020-02-02;Latin America;575907654;;0;0;0
2020-02-02;Middle East, North Africa;532839714;;6;0;0
2020-02-02;Subsaharan Africa;798663011;;0;0;0
2020-02-02;USA;329379809;1199;8;0;0
2020-02-02;W. Europe;359687692;;21;0;0
2020-02-03;Asia;3957174086;;19821;426;621
2020-02-03;C. Europe;64296279;48;0;0;0
2020-02-03;Carribean;21775009;;0;0;0
2020-02-03;Common Wealth;135529136;326;18;0;2
2020-02-03;E. Europe;324658565;;2;0;0
2020-02-03;Israel;9166920;;0;0;0
2020-02-03;Latin America;575907654;;0;0;0
2020-02-03;Middle East, North Africa;532839714;;6;0;0
2020-02-03;Subsaharan Africa;798663011;;0;0;0
2020-02-03;USA;329379809;1330;11;0;0
2020-02-03;W. Europe;359687692;;23;0;0
2020-02-04;Asia;3957174086;;23830;492;850
2020-02-04;C. Europe;64296279;53;0;0;0
2020-02-04;Carribean;21775009;;0;0;0
2020-02-04;Common Wealth;135529136;416;19;0;2
2020-02-04;E. Europe;324658565;;2;0;0
2020-02-04;Israel;9166920;;0;0;0
2020-02-04;Latin America;575907654;;0;0;0
2020-02-04;Middle East, North Africa;532839714;;6;0;0
2020-02-04;Subsaharan Africa;798663011;;0;0;0
2020-02-04;USA;329379809;1423;11;0;0
2020-02-04;W. Europe;359687692;;24;0;0
2020-02-05;Asia;3957174086;;27572;564;1122
2020-02-05;C. Europe;64296279;53;0;0;0
2020-02-05;Carribean;21775009;;0;0;0
2020-02-05;Common Wealth;135529136;468;20;0;2
2020-02-05;E. Europe;324658565;;2;0;0
2020-02-05;Israel;9166920;;0;0;0
2020-02-05;Latin America;575907654;;0;0;0
2020-02-05;Middle East, North Africa;532839714;;6;0;0
2020-02-05;Subsaharan Africa;798663011;;0;0;0
2020-02-05;USA;329379809;1528;11;0;0
2020-02-05;W. Europe;359687692;;24;0;0
2020-02-06;Asia;3957174086;;30753;634;1485
2020-02-06;C. Europe;64296279;56;0;0;0
2020-02-06;Carribean;21775009;;0;0;0
2020-02-06;Common Wealth;135529136;566;21;0;2
2020-02-06;E. Europe;324658565;;2;0;0
2020-02-06;Israel;9166920;;0;0;0
2020-02-06;Latin America;575907654;;0;0;0
2020-02-06;Middle East, North Africa;532839714;;6;0;0
2020-02-06;Subsaharan Africa;798663011;;0;0;0
2020-02-06;USA;329379809;1603;11;0;0
2020-02-06;W. Europe;359687692;;24;0;0
2020-02-07;Asia;3957174086;1701;34260;719;2009
2020-02-07;C. Europe;64296279;62;0;0;0
2020-02-07;Carribean;21775009;;0;0;0
2020-02-07;Common Wealth;135529136;620;25;0;2
2020-02-07;E. Europe;324658565;;2;0;0
2020-02-07;Israel;9166920;;0;0;0
2020-02-07;Latin America;575907654;;0;0;0
2020-02-07;Middle East, North Africa;532839714;;6;0;0
2020-02-07;Subsaharan Africa;798663011;;0;0;0
2020-02-07;USA;329379809;1696;11;0;0
2020-02-07;W. Europe;359687692;;26;0;0
2020-02-08;Asia;3957174086;2598;36982;806;2614
2020-02-08;C. Europe;64296279;62;0;0;0
2020-02-08;Carribean;21775009;;0;0;0
2020-02-08;Common Wealth;135529136;686;25;0;2
2020-02-08;E. Europe;324658565;;2;0;0
2020-02-08;Israel;9166920;;0;0;0
2020-02-08;Latin America;575907654;;0;0;0
2020-02-08;Middle East, North Africa;532839714;;8;0;0
2020-02-08;Subsaharan Africa;798663011;;0;0;0
2020-02-08;USA;329379809;1775;11;0;0
2020-02-08;W. Europe;359687692;;31;0;0
2020-02-09;Asia;3957174086;2776;40007;906;3239
2020-02-09;C. Europe;64296279;64;0;0;0
2020-02-09;Carribean;21775009;;0;0;0
2020-02-09;Common Wealth;135529136;795;25;0;2
2020-02-09;E. Europe;324658565;;2;0;0
2020-02-09;Israel;9166920;;0;0;0
2020-02-09;Latin America;575907654;;0;0;0
2020-02-09;Middle East, North Africa;532839714;;8;0;0
2020-02-09;Subsaharan Africa;798663011;;0;0;0
2020-02-09;USA;329379809;1813;11;0;3
2020-02-09;W. Europe;359687692;;33;0;0
2020-02-10;Asia;3957174086;3629;42542;1013;3941
2020-02-10;C. Europe;64296279;72;0;0;0
2020-02-10;Carribean;21775009;;0;0;0
2020-02-10;Common Wealth;135529136;1114;30;0;2
2020-02-10;E. Europe;324658565;;2;0;0
2020-02-10;Israel;9166920;;0;0;0
2020-02-10;Latin America;575907654;;0;0;0
2020-02-10;Middle East, North Africa;532839714;;9;0;0
2020-02-10;Subsaharan Africa;798663011;;0;0;0
2020-02-10;USA;329379809;1850;11;0;3
2020-02-10;W. Europe;359687692;;33;0;0
2020-02-11;Asia;3957174086;5074;44579;1113;4678
2020-02-11;C. Europe;64296279;74;0;0;0
2020-02-11;Carribean;21775009;;0;0;0
2020-02-11;Common Wealth;135529136;1358;30;0;2
2020-02-11;E. Europe;324658565;;2;0;0
2020-02-11;Israel;9166920;;0;0;0
2020-02-11;Latin America;575907654;;0;0;0
2020-02-11;Middle East, North Africa;532839714;;9;0;0
2020-02-11;Subsaharan Africa;798663011;;0;0;0
2020-02-11;USA;329379809;1945;12;0;3
2020-02-11;W. Europe;359687692;;35;0;0
2020-02-12;Asia;3957174086;5797;44957;1118;5136
2020-02-12;C. Europe;64296279;75;0;0;0
2020-02-12;Carribean;21775009;;0;0;0
2020-02-12;Common Wealth;135529136;1758;31;0;4
2020-02-12;E. Europe;324658565;;2;0;2
