Date;ISO-3166-1;Tests;Confirmed;Recovered;Deaths
2020-01-22;AFG;;0;0;0
2020-01-23;AFG;;0;0;0
2020-01-24;AFG;;0;0;0
2020-01-25;AFG;;0;0;0
2020-01-26;AFG;;0;0;0
2020-01-27;AFG;;0;0;0
2020-01-28;AFG;;0;0;0
2020-01-29;AFG;;0;0;0
2020-01-30;AFG;;0;0;0
2020-01-31;AFG;;0;0;0
2020-02-01;AFG;;0;0;0
2020-02-02;AFG;;0;0;0
2020-02-03;AFG;;0;0;0
2020-02-04;AFG;;0;0;0
2020-02-05;AFG;;0;0;0
2020-02-06;AFG;;0;0;0
2020-02-07;AFG;;0;0;0
2020-02-08;AFG;;0;0;0
2020-02-09;AFG;;0;0;0
2020-02-10;AFG;;0;0;0
2020-02-11;AFG;;0;0;0
2020-02-12;AFG;;0;0;0
2020-02-13;AFG;;0;0;0
2020-02-14;AFG;;0;0;0
2020-02-15;AFG;;0;0;0
2020-02-16;AFG;;0;0;0
2020-02-17;AFG;;0;0;0
2020-02-18;AFG;;0;0;0
2020-02-19;AFG;;0;0;0
2020-02-20;AFG;;0;0;0
2020-02-21;AFG;;0;0;0
2020-02-22;AFG;;0;0;0
2020-02-23;AFG;;0;0;0
2020-02-24;AFG;;1;0;0
2020-02-25;AFG;;1;0;0
2020-02-26;AFG;;1;0;0
2020-02-27;AFG;;1;0;0
2020-02-28;AFG;;1;0;0
2020-02-29;AFG;;1;0;0
2020-03-01;AFG;;1;0;0
2020-03-02;AFG;;1;0;0
2020-03-03;AFG;;1;0;0
2020-03-04;AFG;;1;0;0
2020-03-05;AFG;;1;0;0
2020-03-06;AFG;;1;0;0
2020-03-07;AFG;;1;0;0
2020-03-08;AFG;;4;0;0
2020-03-09;AFG;;4;0;0
2020-03-10;AFG;;5;0;0
2020-03-11;AFG;;7;0;0
2020-03-12;AFG;;7;0;0
2020-03-13;AFG;;7;0;0
2020-03-14;AFG;;11;0;0
2020-03-15;AFG;;16;0;0
2020-03-16;AFG;;21;1;0
2020-03-17;AFG;;22;1;0
2020-03-18;AFG;;22;1;0
2020-03-19;AFG;;22;1;0
2020-01-22;ALB;;0;0;0
2020-01-23;ALB;;0;0;0
2020-01-24;ALB;;0;0;0
2020-01-25;ALB;;0;0;0
2020-01-26;ALB;;0;0;0
2020-01-27;ALB;;0;0;0
2020-01-28;ALB;;0;0;0
2020-01-29;ALB;;0;0;0
2020-01-30;ALB;;0;0;0
2020-01-31;ALB;;0;0;0
2020-02-01;ALB;;0;0;0
